split_id,seed,eps,label,n_models,n_pairs,mean_spearman,status
0,0,0.02,gbm_family,1,0,,insufficient_models
0,0,0.05,gbm_family,1,0,,insufficient_models
0,0,0.1,gbm_family,2,1,0.8853658536585367,ok
0,0,0.2,gbm_family,7,21,0.9194943268113999,ok
0,0,0.3,gbm_family,14,91,0.7938869760633365,ok
0,1,0.02,gbm_family,1,0,,insufficient_models
0,1,0.05,gbm_family,1,0,,insufficient_models
0,1,0.1,gbm_family,2,1,0.878236397748593,ok
0,1,0.2,gbm_family,7,21,0.9166175288126508,ok
0,1,0.3,gbm_family,14,91,0.7961033338144036,ok
0,2,0.02,gbm_family,1,0,,insufficient_models
0,2,0.05,gbm_family,1,0,,insufficient_models
0,2,0.1,gbm_family,2,1,0.881801125703565,ok
0,2,0.2,gbm_family,7,21,0.9195747342088806,ok
0,2,0.3,gbm_family,14,91,0.798072284188607,ok
1,0,0.02,gbm_family,1,0,,insufficient_models
1,0,0.05,gbm_family,1,0,,insufficient_models
1,0,0.1,gbm_family,1,0,,insufficient_models
1,0,0.2,gbm_family,1,0,,insufficient_models
1,0,0.3,gbm_family,3,3,0.5988117573483428,ok
1,1,0.02,gbm_family,1,0,,insufficient_models
1,1,0.05,gbm_family,1,0,,insufficient_models
1,1,0.1,gbm_family,1,0,,insufficient_models
1,1,0.2,gbm_family,1,0,,insufficient_models
1,1,0.3,gbm_family,3,3,0.6126954346466542,ok
1,2,0.02,gbm_family,1,0,,insufficient_models
1,2,0.05,gbm_family,1,0,,insufficient_models
1,2,0.1,gbm_family,1,0,,insufficient_models
1,2,0.2,gbm_family,1,0,,insufficient_models
1,2,0.3,gbm_family,3,3,0.6018761726078801,ok
2,0,0.02,gbm_family,1,0,,insufficient_models
2,0,0.05,gbm_family,1,0,,insufficient_models
2,0,0.1,gbm_family,1,0,,insufficient_models
2,0,0.2,gbm_family,1,0,,insufficient_models
2,0,0.3,gbm_family,2,1,0.8602251407129458,ok
2,1,0.02,gbm_family,1,0,,insufficient_models
2,1,0.05,gbm_family,1,0,,insufficient_models
2,1,0.1,gbm_family,1,0,,insufficient_models
2,1,0.2,gbm_family,1,0,,insufficient_models
2,1,0.3,gbm_family,2,1,0.8549718574108819,ok
2,2,0.02,gbm_family,1,0,,insufficient_models
2,2,0.05,gbm_family,1,0,,insufficient_models
2,2,0.1,gbm_family,1,0,,insufficient_models
2,2,0.2,gbm_family,1,0,,insufficient_models
2,2,0.3,gbm_family,2,1,0.8472795497185742,ok
3,0,0.02,gbm_family,1,0,,insufficient_models
3,0,0.05,gbm_family,2,1,0.7424015009380863,ok
3,0,0.1,gbm_family,3,3,0.758974358974359,ok
3,0,0.2,gbm_family,6,15,0.8638273921200753,ok
3,0,0.3,gbm_family,9,36,0.8309412132582865,ok
3,1,0.02,gbm_family,1,0,,insufficient_models
3,1,0.05,gbm_family,2,1,0.7632270168855536,ok
3,1,0.1,gbm_family,3,3,0.7718574108818013,ok
3,1,0.2,gbm_family,6,15,0.8719324577861163,ok
3,1,0.3,gbm_family,9,36,0.833468834688347,ok
3,2,0.02,gbm_family,1,0,,insufficient_models
3,2,0.05,gbm_family,2,1,0.7360225140712947,ok
3,2,0.1,gbm_family,3,3,0.7631644777986243,ok
3,2,0.2,gbm_family,6,15,0.8659161976235148,ok
3,2,0.3,gbm_family,9,36,0.8334427767354597,ok
