split_id,seed,eps,label,n_models,n_pairs,mean_spearman,status
0,0,0.02,full_set,1,0,,insufficient_models
0,0,0.05,full_set,2,1,0.4320825515947468,ok
0,0,0.1,full_set,2,1,0.4320825515947468,ok
0,0,0.2,full_set,11,55,0.5146353066494269,ok
0,0,0.3,full_set,20,190,0.47529724206866164,ok
0,1,0.02,full_set,3,3,0.7790494058786743,ok
0,1,0.05,full_set,5,10,0.7399750676963475,ok
0,1,0.1,full_set,12,66,0.582525772470964,ok
0,1,0.2,full_set,18,153,0.5581433222426258,ok
0,1,0.3,full_set,19,171,0.5474809288570548,ok
0,2,0.02,full_set,1,0,,insufficient_models
0,2,0.05,full_set,2,1,0.7971857410881803,ok
0,2,0.1,full_set,7,21,0.6489280484570848,ok
0,2,0.2,full_set,14,91,0.6570213132770942,ok
0,2,0.3,full_set,17,136,0.6252975903068863,ok
1,0,0.02,full_set,1,0,,insufficient_models
1,0,0.05,full_set,2,1,0.6343637138176227,ok
1,0,0.1,full_set,2,1,0.6343637138176227,ok
1,0,0.2,full_set,20,190,0.5887695794722104,ok
1,0,0.3,full_set,20,190,0.5887695794722104,ok
1,1,0.02,full_set,1,0,,insufficient_models
1,1,0.05,full_set,2,1,0.7313320825515948,ok
1,1,0.1,full_set,8,28,0.6458655592264558,ok
1,1,0.2,full_set,11,55,0.618922819673308,ok
1,1,0.3,full_set,13,78,0.5941994555974198,ok
1,2,0.02,full_set,2,1,0.7637898686679175,ok
1,2,0.05,full_set,6,15,0.6542165587097141,ok
1,2,0.1,full_set,10,45,0.6192207575560112,ok
1,2,0.2,full_set,15,105,0.6043465999595231,ok
1,2,0.3,full_set,17,136,0.5942001621781758,ok
2,0,0.02,full_set,1,0,,insufficient_models
2,0,0.05,full_set,2,1,0.7311444652908068,ok
2,0,0.1,full_set,4,6,0.6967792370231396,ok
2,0,0.2,full_set,10,45,0.6662809037290999,ok
2,0,0.3,full_set,13,78,0.6589373025513618,ok
2,1,0.02,full_set,2,1,0.6377110694183865,ok
2,1,0.05,full_set,3,3,0.5757973733583491,ok
2,1,0.1,full_set,7,21,0.6178562762267634,ok
2,1,0.2,full_set,10,45,0.62506394309169,ok
2,1,0.3,full_set,13,78,0.597060752519777,ok
2,2,0.02,full_set,1,0,,insufficient_models
2,2,0.05,full_set,1,0,,insufficient_models
2,2,0.1,full_set,1,0,,insufficient_models
2,2,0.2,full_set,5,10,0.6866172573117318,ok
2,2,0.3,full_set,12,66,0.6491865752254076,ok
3,0,0.02,full_set,1,0,,insufficient_models
3,0,0.05,full_set,2,1,0.6286411189429,ok
3,0,0.1,full_set,6,15,0.6922929529316459,ok
3,0,0.2,full_set,9,36,0.6638284737599123,ok
3,0,0.3,full_set,12,66,0.6265901833240859,ok
3,1,0.02,full_set,6,15,0.6855898407859004,ok
3,1,0.05,full_set,8,28,0.7110400377344502,ok
3,1,0.1,full_set,10,45,0.7221067151405124,ok
3,1,0.2,full_set,12,66,0.7008594932546383,ok
3,1,0.3,full_set,14,91,0.6836052899585845,ok
3,2,0.02,full_set,1,0,,insufficient_models
3,2,0.05,full_set,1,0,,insufficient_models
3,2,0.1,full_set,6,15,0.6664532567900476,ok
3,2,0.2,full_set,12,66,0.6765864992999178,ok
3,2,0.3,full_set,17,136,0.6271125875473049,ok
